pitcher,avgeffectvelo,avgvelo,avgspinrate,avghorzbreak,avgvertbreak
"Sims, Lucas",81.20214477211800,82.3337801608579,3250.5469168900800,-12.485147453083100,3.4552278820375300
"Lugo, Seth",77.46993865030670,78.9153374233129,3243.834355828220,-12.13840490797550,17.45668711656440
"Pressly, Ryan",80.87415730337080,81.88061797752810,3237.174157303370,-14.345730337078700,13.480112359550600
"Hahn, Jesse",76.75636363636370,77.88909090909090,3162.146788990830,-15.545454545454600,15.32290909090910
"Richards, Garrett",76.50387096774190,78.6248387096774,3159.899022801300,-10.957161290322600,19.23174193548390
"Maples, Dillon",83.35250000000000,84.12250000000000,3156.9625,-13.155000000000000,14.758500000000000
"May, Dustin",86.64523809523810,86.50198412698410,3118.2341269841300,-12.377142857142900,6.008571428571430
"Stratton, Chris",80.35967365967370,80.15734265734260,3114.5477855477900,-15.645594405594400,8.502937062937060
"Venditte, Pat",64.18000000000000,71.48000000000000,3112.6666666666700,-15.672000000000000,-4.9560000000000000
"Stephenson, Robert",81.16678321678320,81.4797202797203,3054.3426573426600,-10.455104895104900,6.63146853146853
"Thornton, Trent",79.60655021834060,80.09868995633190,3040.6593886462900,-9.13834061135371,14.034235807860300
"Matzek, Tyler",80.13437500000000,80.53125000000000,3039.8854166666700,9.708750000000000,13.333750000000000
"Morton, Charlie",79.95729585006690,80.33493975903620,3025.6633199464500,-16.753012048192800,9.639437751004020
"Morgan, Adam",77.71538461538460,78.46923076923080,2990.519230769230,9.03,6.311538461538460
"Maton, Phil",76.54901477832510,76.13522167487690,2986.5467980295600,-18.7935960591133,9.803645320197050
"Antone, Tejay",79.34193548387100,79.57204301075270,2983.935483870970,-17.68086021505380,10.537204301075300
"Espino, Paolo",70.55748898678420,71.10704845814980,2982.103524229080,-12.831806167400900,18.734273127753300
"Glasnow, Tyler",83.7973901098901,82.94656593406590,2973.4436813186800,-6.208846153846150,17.37313186813190
"Raley, Brooks",77.64829545454550,78.96534090909090,2962.5,15.405000000000000,6.120681818181820
"Chatwood, Tyler",80.24756097560980,80.64024390243900,2932.243902439020,-11.09707317073170,11.048780487804900
"Paredes, Enoli",80.32380952380950,80.85238095238100,2931.904761904760,-13.794285714285700,8.94857142857143
"Baragar, Caleb",79.88125000000000,79.48958333333330,2923.625,12.3625,6.650000000000000
"Poteet, Cody",78.15064935064940,79.24805194805190,2921.6103896103900,-12.652987012987000,8.855064935064940
"Plutko, Adam",76.2792,76.93360000000000,2918.2,-11.336640000000000,10.203840000000000
"Valdez, Framber",77.94760000000000,79.00232000000000,2917.6624,13.364160000000000,14.881152000000000
"Voth, Austin",77.86263048016700,78.49123173277660,2912.847280334730,-14.138956158663900,7.861377870563680
"Neverauskas, Dovydas",63.15702479338840,82.14132231404960,2907.391304347830,-6.298512396694210,12.706115702479300
"Johnson, Pierce",83.46385542168670,84.40043811610080,2906.631982475360,-11.43824753559690,4.9284118291347200
"Coonrod, Sam",58.55714285714290,82.40000000000000,2902.0,-13.354285714285700,10.14857142857140
"Paulino, David",76.59090909090910,77.18181818181820,2884.7272727272700,-10.93090909090910,17.007272727272700
"Sceroler, Mac",77.62083333333330,78.25833333333330,2884.7083333333300,-10.13,15.330000000000000
"Burnes, Corbin",81.37461139896370,81.18221070811750,2880.8737024221500,-11.233989637305700,7.579689119170980
"Holder, Jonathan",60.792857142857100,77.56428571428570,2880.0,-13.44857142857140,7.028571428571430
"Urías, Julio",80.27943107221000,81.36549963530270,2879.315098468270,15.865364431486900,0.9625364431486880
"Hunter, Tommy",81.07727272727270,82.45181818181820,2868.287037037040,-12.91636363636360,5.779636363636360
"Smith, Josh A.",61.86785714285720,77.56607142857150,2865.0222222222200,-16.511785714285700,7.225714285714290
"Sadler, Casey",79.50193548387090,80.0041935483871,2864.583870967740,-11.508774193548400,9.133161290322580
"Newcomb, Sean",77.67500000000000,78.9581081081081,2860.7297297297300,9.953513513513510,16.722162162162200
"Carrasco, Carlos",75.81171171171170,82.95225225225230,2854.7227722772300,-9.482162162162160,6.833513513513510
"Campbell, Paul",77.22613636363640,78.97954545454540,2854.183908045980,-11.824090909090900,10.126363636363600
"Misiewicz, Anthony",80.25898876404490,80.97078651685390,2852.8483146067400,11.059887640449400,7.210786516853940
"Rodríguez, Dereck",75.19642857142860,78.10714285714290,2851.925925925930,-8.682857142857140,16.95428571428570
"Reyes, Alex",79.27428571428570,80.324,2844.7714285714300,-8.66057142857143,19.634057142857100
"Alzolay, Adbert",69.27651006711410,80.6536912751678,2842.0703125,-11.356510067114100,1.14765100671141
"Contreras, Roansy",79.2,79.9,2837.2,-5.784000000000000,16.68
"Civale, Aaron",75.35985790408530,76.4046181172291,2829.9376114082000,-10.53868561278860,15.719573712255800
"Hendricks, Kyle",70.60039603960400,72.74851485148520,2829.20281124498,-14.715089108910900,12.267326732673300
"Hernandez, Darwinzon",79.66444444444440,79.52222222222220,2829.2,15.429333333333300,8.0
"Wainwright, Adam",72.69752407152680,73.51513067400280,2825.262612301310,-16.592022008253100,14.562255845942200
"Nance, Tommy",84.83983739837400,85.36747967479670,2821.6341463414600,-9.10341463414634,13.300487804878100
"Gray, Sonny",79.5919418758256,79.90449141347430,2821.5918097754300,-14.457701453104400,13.255482166446500
"Brubaker, JT",79.29391025641020,79.87564102564100,2820.448717948720,-7.051538461538460,8.291153846153850
"Pruitt, Austin",80.1304347826087,81.3913043478261,2820.4347826087000,-6.803478260869560,10.685217391304300
"Adams, Chance",59.450000000000000,78.50789473684210,2819.655172413790,-16.965789473684200,7.882105263157900
